iter	Passed	Remaining
0	2	248
1	5	249
2	7	237
3	9	222
4	11	224
5	14	222
6	16	217
7	19	219
8	20	207
9	22	198
10	23	194
11	25	189
12	27	185
13	29	179
14	30	173
15	32	169
16	33	165
17	35	160
18	36	156
19	38	153
20	39	149
21	41	146
22	42	143
23	44	140
24	45	137
25	47	134
26	48	131
27	50	129
28	51	126
29	53	124
30	55	123
31	57	121
32	58	119
33	60	117
34	62	115
35	63	112
36	64	110
37	66	108
38	68	107
39	70	106
40	72	104
41	73	101
42	75	100
43	77	98
44	79	97
45	81	95
46	83	94
47	85	92
48	87	90
49	88	88
50	90	86
51	91	84
52	93	82
53	94	80
54	95	78
55	98	77
56	100	75
57	101	73
58	103	71
59	105	70
60	106	68
61	108	66
62	109	64
63	111	62
64	113	60
65	115	59
66	117	57
67	119	56
68	121	54
69	122	52
70	124	50
71	126	49
72	128	47
73	130	45
74	132	44
75	134	42
76	135	40
77	137	38
78	139	37
79	140	35
80	142	33
81	143	31
82	145	29
83	147	28
84	148	26
85	150	24
86	151	22
87	153	20
88	154	19
89	156	17
90	158	15
91	159	13
92	160	12
93	162	10
94	164	8
95	165	6
96	167	5
97	168	3
98	170	1
99	172	0
